event_id,start_time_s,start_timestamp,end_time_s,end_timestamp,duration_s,start_frame,end_frame,frames_count,max_score,avg_score,severity,anomaly_type
1,63.57,01:03.57,64.72,01:04.72,1.15,3814,3883,70,0.7081,0.6965,low,actividad_inusual
2,65.27,01:05.27,65.69,01:05.69,0.42,3916,3941,26,0.7002,0.6636,low,actividad_inusual
3,158.41,02:38.41,159.51,02:39.51,1.1,9504,9570,67,0.6758,0.6651,low,actividad_inusual
4,160.87,02:40.87,161.19,02:41.19,0.32,9652,9671,20,0.695,0.6707,low,actividad_inusual
5,175.61,02:55.61,176.14,02:56.14,0.53,10536,10568,33,0.7354,0.6917,low,actividad_inusual
6,198.09,03:18.09,198.36,03:18.36,0.27,11885,11901,17,0.8827,0.7752,low,actividad_inusual
7,198.91,03:18.91,199.68,03:19.68,0.77,11934,11980,47,0.9042,0.7741,low,actividad_inusual
8,209.48,03:29.48,209.69,03:29.69,0.22,12568,12581,14,0.7058,0.6836,low,actividad_inusual
9,221.38,03:41.38,222.26,03:42.26,0.88,13282,13335,54,0.6767,0.6752,low,actividad_inusual
10,232.31,03:52.31,232.81,03:52.81,0.5,13938,13968,31,0.7286,0.7151,low,actividad_inusual
11,236.91,03:56.91,237.18,03:57.18,0.27,14214,14230,17,0.7225,0.6996,low,actividad_inusual
12,242.23,04:02.23,247.39,04:07.39,5.17,14533,14843,311,0.8287,0.7349,low,actividad_inusual
13,251.39,04:11.39,251.79,04:11.79,0.4,15083,15107,25,0.847,0.733,low,actividad_inusual
14,255.39,04:15.39,261.05,04:21.05,5.65,15323,15662,340,0.8967,0.7521,low,actividad_inusual
15,268.38,04:28.38,269.11,04:29.11,0.73,16102,16146,45,0.8794,0.7722,low,actividad_inusual
16,289.65,04:49.65,301.48,05:01.48,11.83,17378,18088,711,0.7522,0.7417,low,actividad_inusual
17,340.01,05:40.01,341.81,05:41.81,1.8,20400,20508,109,0.8086,0.717,low,actividad_inusual
18,345.55,05:45.55,347.7,05:47.70,2.15,20732,20861,130,0.8726,0.7244,low,actividad_inusual
19,413.92,06:53.92,414.87,06:54.87,0.95,24834,24891,58,0.7617,0.6609,low,actividad_inusual
20,418.25,06:58.25,420.87,07:00.87,2.62,25094,25251,158,0.7178,0.6765,low,actividad_inusual
21,421.79,07:01.79,439.49,07:19.49,17.7,25306,26368,1063,0.8025,0.715,low,actividad_inusual
22,443.92,07:23.92,447.54,07:27.54,3.62,26634,26851,218,0.8238,0.6905,low,actividad_inusual
23,449.32,07:29.32,453.92,07:33.92,4.6,26958,27234,277,0.9192,0.7334,low,actividad_inusual
24,454.42,07:34.42,465.55,07:45.55,11.13,27264,27932,669,0.9914,0.7388,low,actividad_inusual
25,467.25,07:47.25,467.54,07:47.54,0.28,28034,28051,18,0.6946,0.6808,low,actividad_inusual
26,469.34,07:49.34,469.59,07:49.59,0.25,28159,28174,16,0.6696,0.6652,low,actividad_inusual
27,491.04,08:11.04,491.34,08:11.34,0.3,29461,29479,19,0.6829,0.6713,low,actividad_inusual
28,543.66,09:03.66,543.94,09:03.94,0.28,32618,32635,18,0.6921,0.6746,low,actividad_inusual
29,544.56,09:04.56,544.81,09:04.81,0.25,32672,32687,16,0.6825,0.6759,low,actividad_inusual
30,548.39,09:08.39,549.54,09:09.54,1.15,32902,32971,70,0.8225,0.728,low,actividad_inusual
31,560.97,09:20.97,561.87,09:21.87,0.9,33657,33711,55,0.9513,0.7852,low,actividad_inusual
32,563.84,09:23.84,565.04,09:25.04,1.2,33829,33901,73,0.925,0.7399,low,actividad_inusual
33,566.61,09:26.61,567.06,09:27.06,0.45,33995,34022,28,0.9215,0.7921,low,actividad_inusual
34,571.66,09:31.66,571.89,09:31.89,0.23,34298,34312,15,0.6679,0.6597,low,actividad_inusual
35,575.88,09:35.88,576.44,09:36.44,0.57,34551,34585,35,0.6734,0.6654,low,actividad_inusual
36,585.71,09:45.71,586.81,09:46.81,1.1,35141,35207,67,0.7751,0.6867,low,actividad_inusual
37,587.39,09:47.39,588.42,09:48.42,1.03,35242,35304,63,0.7983,0.6888,low,actividad_inusual
38,597.81,09:57.81,598.11,09:58.11,0.3,35867,35885,19,0.6732,0.6645,low,actividad_inusual
39,605.98,10:05.98,606.39,10:06.39,0.42,36357,36382,26,0.7866,0.7418,low,actividad_inusual
40,634.91,10:34.91,643.94,10:43.94,9.03,38093,38635,543,0.8301,0.7913,low,actividad_inusual
41,664.83,11:04.83,665.38,11:05.38,0.55,39888,39921,34,0.6702,0.6041,low,actividad_inusual
42,671.41,11:11.41,672.68,11:12.68,1.27,40283,40359,77,0.76,0.6567,low,actividad_inusual
43,674.25,11:14.25,674.65,11:14.65,0.4,40453,40477,25,0.6833,0.6712,low,actividad_inusual
44,675.3,11:15.30,679.63,11:19.63,4.33,40516,40776,261,0.7166,0.6755,low,actividad_inusual
45,680.7,11:20.70,684.01,11:24.01,3.32,40840,41039,200,0.7434,0.6919,low,actividad_inusual
46,684.58,11:24.58,687.65,11:27.65,3.07,41073,41257,185,0.8091,0.7413,low,actividad_inusual
